Atlético Sudowoodo|1|0
CA Trigal|1|0
Cerezo FC|1|0
Deportivo Olívico|1|0
SCD Pluma Blanca|1|0
Sporting Dragonite|1|0
UD Glaciar|1|0
CD Céfiro|1|1
CD Relojeros|1|1
CP Planicie|1|1
Parque Nacional SC|1|1
Sakura Atlético|1|1
UD Volcánica|1|1
Zidra Shuckle|1|1
AC Azumarill|1|2
ADV Kabuki|1|2
Arcoíris AD|1|2
CA Islas Remolino|1|2
Cristalera de Iris|1|2
Gyarados FC|1|2
BP Quercus|2|0
CA Vivero|2|0
CA Yerbabuena|2|0
CD Pyrus|2|0
CF Trueno|2|0
Monte Plateado FC|2|0
CD Orquídea|2|1
CP Durazno|2|1
Estudiantes de Cerezo|2|1
GD Farense|2|1
Imperial de Endrino|2|1
Insectario Antón|2|1
SD Mortero|2|1
AD Bellsprout|2|2
AD Club Safari|2|2
CA Montañero de Endrino|2|2
CS Magnético|2|2
Deportes Viento Norteño|2|2
Independiente Primavera|2|2
SD Scyther|2|2
Alfabeto RACF|3|0
Atlético Ampharos|3|0
Banana Atlético|3|0
CD Azalea|3|0
CD Mirto|3|0
Liga Deportiva de Iris|3|0
Pegaso de Malva|3|0
Radio Trigal|3|0
Sports Volcánico|3|0
Arroceros CF|3|1
ED Cedro|3|1
JD Poliwrath|3|1
Marítimo Sakura|3|1
Melocotón CA|3|1
Mineral CF|3|1
New Bark SC|3|1
San Antonio Deportivo|3|1
SC Mistrío|3|1
SD Escarlata|3|1
SD Tauros|3|1
AC Rikishii|3|2
AV Roca Roja|3|2
CA Gligar|3|2
CD Houndoom|3|2
CF Piloswine|3|2
Jynx Deportivo|3|2
SCD Aníbal Barca|3|2
SD Caoba Shinobi|3|2
SD Ciruelo|3|2
Atlético Hitmontop|4|0
Burbujas SDyC|4|0
CDA Débora Draco|4|0
Club Olívico|4|0
CR Exploradores|4|0
JD Crobat|4|0
CA Tempestad|4|1
CD Catalia|4|1
Serpefierro CF|4|1
AD Terramusiana|4|2
Atlético de la Y|4|2
Atlético Torre Quemada|4|2
Atlético Ursaring|4|2
CD Bergamotero|4|2
CD Noctowl|4|2
Cultural de la 35|4|2
IA Azulejo|4|2
AC Seiscuadrado|5|0
Atlético Florando|5|0
Club Naval de Olivo|5|0
Deportivo Florista|5|0
Gimnasio de las Alas|5|0
Hércules de la Ladera|5|0
Marítimo Cuadragésimo|5|0
SD Wobbuffet|5|0
CD Rafael Alvear|5|1
Deportivo Ébano|5|1
